ID,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
7204,22,Bishop Lane,Phillip,Clark,77,Husband,Married,Male,"Retired Lecturer, further education",None,Methodist
7205,23,Bishop Lane,Natalie,Griffiths,36,Head,Single,Female,IT consultant,None,Christian
7206,24,Bishop Lane,Declan,Mason,88,Head,Widowed,Male,Retired Theatre stage manager,None,Christian
7207,25,Bishop Lane,Stephen,Davies,76,Head,Widowed,Male,Retired Medical technical officer,None,NA
7208,26,Bishop Lane,Lesley,Smith,57,Head,Married,Female,Mechanical engineer,None,Catholic
7209,26,Bishop Lane,Benjamin,Smith,61,Husband,Married,Male,Diagnostic radiographer,None,Catholic
7210,26,Bishop Lane,Rosemary,Smith,19,Daughter,Divorced,Female,"Education officer, museum",None,Catholic
7211,26,Bishop Lane,Gregory,Smith,16,Son,NA,Male,Student,None,NA
7212,1,Harrison Center,Katie,Ward,24,Head,Married,Female,Unemployed,None,Catholic
7213,1,Harrison Center,Mitchell,Ward,26,Husband,Married,Male,Civil Service administrator,None,None
7214,1,Harrison Center,Hilary,Ward,4,Daughter,NA,Female,Child,None,NA
7215,2,Harrison Center,Irene,Spencer,37,Head,Single,Female,NA,None,Methodist
7216,2,Harrison Center,Martin,Sullivan,32,Partner,Single,Male,Archivist,None,Methodist
7217,2,Harrison Center,Russell,Spencer,20,Son,Single,Male,University Student,None,Methodist
7218,2,Harrison Center,Alan,Spencer,16,Son,NA,Male,Student,None,NA
7219,3,Harrison Center,Joanne,Nelson,21,Head,Married,Female,Special educational needs teacher,None,Sikh
7220,3,Harrison Center,Declan,Nelson,23,Husband,Married,Male,Nature conservation officer,None,Sikh
7221,3,Harrison Center,Timothy,Blake,34,Lodger,Divorced,Male,Health physicist,None,None
7222,3,Harrison Center,Kathryn,Hardy,44,Lodger,Single,Female,Retail buyer,None,Methodist
7223,4,Harrison Center,Joe,Griffiths,58,Head,Single,Male,"Scientist, water quality",None,None
7224,4,Harrison Center,William,Shepherd,20,None,Single,Male,University Student,None,None
7225,4,Harrison Center,Thomas,Kelly,46,None,Single,m,"Programme researcher, broadcasting/film/video",None,Catholic
7226,5,Harrison Center,Gillian,Adams,20,Head,Single,Female,University Student,None,None
7227,5,Harrison Center,Brian,Foster,29,None,Single,Male,Unemployed,None,Catholic
7228,5,Harrison Center,Rosemary,Thomas,58,None,Single,Female,Architect,None,Catholic
7229,6,Harrison Center,Lorraine,Chapman,58,Head,Married,Female,General practice doctor,None,None
7230,6,Harrison Center,Sean,Chapman,64,Husband,Married,Male,Tree surgeon,None,None
7231,6,Harrison Center,Georgina,Chapman,19,Daughter,Divorced,Female,University Student,None,None
7232,6,Harrison Center,Brett,NA,10,Son,NA,Male,Student,None,NA
7233,7,Harrison Center,Angela,Brennan,51,Head,Married,Female,"Engineer, electrical",None,None
7234,7,NA,Howard,Brennan,55,Husband,Married,Male,"Engineer, chemical",None,None
7235,7,Harrison Center,Leanne,Brennan,26,Adopted Daughter,Single,Female,Fish farm manager,None,None
7236,7,Harrison Center,Reece,Brennan,25,Son,Single,Male,Training and development officer,None,None
7237,8,Harrison Center,Katherine,McCarthy,26,Head,Single,Female,"Secretary, company",None,Catholic
7238,8,Harrison Center,Glenn,Wilkinson,28,Partner,Single,Male,Archaeologist,None,Catholic
7239,8,Harrison Center,Clare,McCarthy,7,Daughter,NA,Female,Student,None,NA
7240,9,Harrison Center,Elizabeth,Green-Lewis,46,Head,Married,Female,Regulatory affairs officer,None,Catholic
7241,9,Harrison Center,Martyn,Green-Lewis,53,Husband,Married,Male,Risk manager,None,Catholic
7242,9,Harrison Center,Ian,Green-Lewis,12,Son,NA,Male,Student,None,NA
7243,10,Harrison Center,Megan,Mann,37,Head,Married,Female,Land/geomatics surveyor,None,Catholic
7244,10,Harrison Center,Charlie,Mann,39,Husband,Married,Male,Planning and development surveyor,None,None
7245,10,Harrison Center,Albert,Mann,15,Son,NA,Male,Student,None,NA
7246,10,Harrison Center,Billy,Mann,12,Son,NA,Male,Student,None,NA
7247,11,Harrison Center,Stacey,Morley,57,Head,Single,Female,Patent examiner,None,Christian
7248,11,Harrison Center,Clare,Morley,17,Daughter,NA,Female,Student,None,NA
7249,11,Harrison Center,Craig,Morley,17,Son,NA,Male,Student,None,NA
7250,12,Harrison Center,Catherine,Myers,42,Head,Single,Female,Unemployed,None,None
7251,12,Harrison Center,Craig,Myers,18,Son,Single,Male,Student,None,None
7252,12,Harrison Center,Kenneth,Myers,18,Son,Single,Male,Student,None,None
7253,13,Harrison Center,Joanna,Brown,35,Head,Single,Female,Community development worker,None,None
7254,13,Harrison Center,Robin,Begum,37,Partner,Single,Male,Commercial art gallery manager,None,None
7255,1,Perth Unions,Karen,Baker,37,Head,Married,Female,Unemployed,None,Catholic
7256,1,Perth Unions,Harry,Baker,38,Husband,Married,Male,Herpetologist,None,Catholic
7257,1,Perth Unions,Jeffrey,Baker,4,Step-Son,NA,Male,Child,None,NA
7258,2,Perth Unions,Adam,Jones,39,Head,Single,Male,Fish farm manager,None,Methodist
7259,2,Perth Unions,Geraldine,Talbot,64,None,Single,Female,Chief Technology Officer,None,Christian
7260,2,Perth Unions,Stewart,Kaur,26,None,Single,Male,Animator,None,None
7261,3,Perth Unions,Garry,Jones,77,Head,Married,M,Retired Press sub,None,Methodist
7262,3,Perth Unions,Hazel,Jones,79,Wife,Married,Female,"Retired Research officer, government",None,Methodist
7263,4,Perth Unions,Dorothy,Harris,45,Head,Married,Female,Housing manager/officer,None,None
7264,4,Perth Unions,Roger,Harris,45,Husband,Married,Male,Unemployed,None,None
7265,4,Perth Unions,Victor,Harris,22,Son,Divorced,Male,Neurosurgeon,None,None
7266,4,Perth Unions,Judith,Harris,22,Daughter,Single,Female,University Student,None,None
7267,4,Perth Unions,Georgina,Harris,16,Daughter,NA,Female,Student,None,NA
7268,5,Perth Unions,Brandon,Garner,22,Head,Single,Male,University Student,None,None
7269,5,Perth Unions,Dominic,Winter,22,None,Single,Male,University Student,None,Methodist
7270,5,Perth Unions,Malcolm,Jones,21,None,Single,Male,University Student,None,Catholic
7271,6,Perth Unions,Diana,Allen-Brown,41,Head,Married,Female,Trade union research officer,None,None
7272,6,Perth Unions,Paul,NA,43,Husband,Married,Male,Unemployed,None,None
7273,6,Perth Unions,Yvonne,Allen-Brown,6,Daughter,NA,Female,Student,Disabled,NA
7274,6,Perth Unions,Jordan,Allen-Brown,1,Son,NA,Male,Child,None,NA
7275,7,Perth Unions,Julia,Davies,37,Head,Single,Female,"Journalist, newspaper",None,Methodist
7276,7,Perth Unions,Harry,Webb,39,Partner,Single,Male,Museum/gallery curator,None,None
7277,7,Perth Unions,Rebecca,Davies,14,Daughter,NA,Female,Student,None,NA
7278,8,Perth Unions,Charlene,Pollard,40,Head,Married,Female,Warden/ranger,None,None
7279,8,NA,Phillip,Pollard,39,Husband,Married,Male,"Embryologist, clinical",None,None
7280,8,Perth Unions,Neil,Pollard,8,Son,NA,Male,Student,None,NA
7281,8,Perth Unions,Aaron,Pollard,5,Son,NA,M,Student,None,NA
7282,8,Perth Unions,Dean,Howard,32,Lodger,Single,Male,"Editor, film/video",None,None
7283,9,Perth Unions,Maureen,Douglas,51,Head,Married,Female,"Exhibitions officer, museum/gallery",None,None
7284,9,Perth Unions,Colin,Douglas,53,Husband,Married,Male,Magazine features editor,None,None
7285,9,Perth Unions,Graham,Douglas,11,Son,NA,Male,Student,None,NA
7286,10,Perth Unions,Jade,Connolly,37,Head,Divorced,Female,Water quality scientist,None,Methodist
7287,10,Perth Unions,Harry,Connolly,12,Son,NA,Male,Student,None,NA
7288,10,Perth Unions,Graeme,Connolly,12,Son,NA,Male,Student,None,NA
7289,10,Perth Unions,Connor,Connolly,7,Son,NA,Male,Student,None,NA
7290,11,Perth Unions,Linda,Holland,74,Head,Widowed,Female,Retired Mudlogger,None,None
7291,12,Perth Unions,Jason,Newton,57,Head,Divorced,Male,Animator,None,Christian
7292,12,Perth Unions,Edward,Newton,25,Son,Single,Male,Holiday representative,None,Christian
7293,13,Perth Unions,Jasmine,NA,43,Head,Married,Female,"Production designer, theatre/television/film",None,Catholic
7294,13,Perth Unions,Garry,Lee,45,Husband,Married,Male,"Education officer, environmental",None,None
7295,14,Perth Unions,Dawn,Smith,24,Head,Single,Female,Barrister's clerk,None,None
7296,14,Perth Unions,Nathan,Smith-Khan,30,Partner,Single,m,"Designer, graphic",None,None
7297,14,Perth Unions,Dylan,Woods,40,Lodger,Single,Male,Seismic interpreter,None,None
7298,15,Perth Unions,Olivia,Smith,46,Head,Married,Female,Chartered loss adjuster,None,Methodist
7299,15,Perth Unions,Wayne,Smith,48,Husband,Married,Male,Cytogeneticist,None,Methodist
7300,15,Perth Unions,Bethany,Taylor,14,Daughter,NA,Female,Student,None,NA
7301,16,Perth Unions,Patricia,Willis,32,Head,Married,Female,Geoscientist,None,Christian
7302,16,Perth Unions,Joseph,Willis,33,Husband,Married,Male,Interpreter,None,None
7303,16,Perth Unions,Kirsty,Willis,3,Daughter,NA,Female,Child,None,NA
7304,17,Perth Unions,Julian,Ellis,40,Head,Married,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
7305,17,Perth Unions,Valerie,Ellis,33,Wife,Married,F,Geophysical data processor,None,Christian
7306,17,Perth Unions,Adrian,Ellis,7,Son,NA,Male,Student,None,NA
7307,17,Perth Unions,Adrian,Ellis,4,Son,NA,Male,Child,None,NA
7308,18,Perth Unions,Bethany,Grant,65,Head,Divorced,Female,Unemployed,None,None
7309,18,Perth Unions,Lawrence,Grant,41,Son,Single,Male,Armed forces technical officer,None,None
7310,18,Perth Unions,Lynda,Grant,38,Daughter,Single,Female,Web designer,None,None
7311,19,Perth Unions,Elizabeth,Jenkins,43,Head,Single,Female,Research scientist (physical sciences),None,None
7312,19,Perth Unions,Kate,Stewart,25,None,Single,Female,Actuary,None,Catholic
7313,19,Perth Unions,Melanie,Davis,21,None,Single,Female,Chief Marketing Officer,None,Christian
7314,20,Perth Unions,Jayne,John,59,Head,Married,Female,Unemployed,None,Christian
7315,20,Perth Unions,Anthony,John,61,Husband,Married,Male,Financial planner,None,None
7316,20,Perth Unions,Adam,John,49,Son,Divorced,Male,"Doctor, hospital",None,Christian
7317,21,Perth Unions,Bethany,Cameron,26,Head,Divorced,Female,Immunologist,None,Catholic
7318,21,Perth Unions,Christopher,Cameron,5,Son,NA,Male,Student,None,NA
7319,21,Perth Unions,Paige,Bibi,35,Lodger,Single,Female,"Scientist, marine",None,Catholic
7320,21,Perth Unions,Rosemary,Young,44,Lodger,Single,Female,Hospital doctor,None,Christian
7321,21,Perth Unions,Kirsty,Bailey,55,Lodger,Divorced,Female,Merchant navy officer,None,Christian
7322,22,Perth Unions,Suzanne,Dobson,77,Head,Widowed,Female,Retired Armed forces operational officer,None,Christian
7323,22,Perth Unions,Jodie,Dobson,38,Daughter,Divorced,Female,Television production assistant,None,Christian
7324,22,Perth Unions,Matthew,Dickinson-Dobson,37,Son,Divorced,Male,Land,None,Christian
7325,23,Perth Unions,Jacqueline,King,20,Head,Married,Female,University Student,None,Catholic
7326,23,Perth Unions,Louis,King,19,Husband,Married,Male,University Student,None,Catholic
7327,24,Perth Unions,Jill,Smith,36,Head,Married,Female,Control and instrumentation engineer,None,Catholic
7328,24,Perth Unions,Leslie,Smith,38,Husband,Married,Male,NA,None,None
7329,24,Perth Unions,Natalie,Smith,3,Daughter,NA,Female,Child,None,NA
7330,25,Perth Unions,Simon,Carey,18,Head,Single,Male,University Student,NA,Catholic
7331,25,Perth Unions,Elizabeth,Martin,18,None,Single,Female,University Student,None,None
7332,25,Perth Unions,Anna,Harrison,19,None,Single,Female,University Student,None,Methodist
7333,25,Perth Unions,Graeme,Roberts,22,None,Single,Male,University Student,None,Christian
7334,25,Perth Unions,Sylvia,Fraser,22,None,Single,Female,University Student,None,None
7335,1,Wyatt Avenue,Robert,Price,19,Head,Married,Male,University Student,None,None
7336,1,Wyatt Avenue,Lauren,Price,19,Wife,Married,Female,University Student,None,None
7337,2,Wyatt Avenue,Thomas,Harvey,18,Head,Single,M,University Student,None,Catholic
7338,2,Wyatt Avenue,Jacob,Robson,21,None,Single,NA,University Student,None,Methodist
7339,2,Wyatt Avenue,Charlene,Cook,21,None,Single,Female,University Student,None,Muslim
7340,3,Wyatt Avenue,Diane,Allen,53,Head,Married,Female,"Designer, multimedia",None,Methodist
7341,3,NA,Keith,Allen,57,Husband,Married,Male,"Journalist, broadcasting",None,Methodist
7342,4,Wyatt Avenue,Victoria,Riley,50,Head,Divorced,Female,Unemployed,None,Methodist
7343,4,Wyatt Avenue,Emily,Riley,19,Adopted Daughter,Single,Female,University Student,None,Methodist
7344,4,Wyatt Avenue,Lorraine,Riley,16,Daughter,NA,Female,Student,None,NA
7345,4,Wyatt Avenue,Francesca,Riley,14,Daughter,NA,Female,Student,None,NA
7346,5,Wyatt Avenue,Shirley,Taylor,62,Head,Single,Female,"Scientist, product/process development",None,Christian
7347,5,Wyatt Avenue,Gerard,Hewitt,66,Partner,Single,Male,Field trials officer,None,Christian
7348,5,Wyatt Avenue,Kimberley,Taylor,12,Daughter,NA,Female,Student,None,NA
7349,6,Wyatt Avenue,Sheila,Fisher,31,Head,Divorced,Female,Stage manager,None,Christian
7350,6,Wyatt Avenue,Hayley,Whittaker,38,Cousin,Single,Female,Unemployed,None,Christian
7351,7,Wyatt Avenue,Samuel,Davison,30,Head,Single,Male,"Engineer, civil (consulting)",None,None
7352,7,Wyatt Avenue,Gillian,Butler,35,None,Single,Female,Unemployed,None,Catholic
7353,7,Wyatt Avenue,Damian,Day,47,None,Single,Male,Minerals surveyor,None,Methodist
7354,7,Wyatt Avenue,Stacey,Robinson,60,None,Single,Female,"Development worker, international aid",None,Christian
7355,8,Wyatt Avenue,Lynne,Brown,46,Head,Married,Female,Video editor,NA,Methodist
7356,8,Wyatt Avenue,Leon,Brown,50,Husband,Married,Male,"Scientist, product/process development",None,Methodist
7357,8,Wyatt Avenue,Sam,Brown,25,Son,Single,Male,Holiday representative,None,None
7358,8,Wyatt Avenue,Carole,Brown,24,Daughter,Single,Female,Radio producer,None,Methodist
7359,8,Wyatt Avenue,Frank,Brown,20,Son,Divorced,Male,University Student,None,Methodist
7360,8,Wyatt Avenue,Dennis,Brown,17,Son,NA,Male,Student,None,NA
7361,8,Wyatt Avenue,Sophie,Brown,16,Daughter,NA,Female,Student,None,NA
7362,9,Wyatt Avenue,Megan,Jones,38,Head,Single,Female,Unemployed,None,None
7363,9,Wyatt Avenue,Sheila,Jones,18,Daughter,Single,Female,Student,None,None
7364,9,Wyatt Avenue,Janet,Jones,16,Daughter,NA,Female,Student,None,NA
7365,10,Wyatt Avenue,Jessica,Hayward,52,Head,Single,Female,"Physicist, medical",None,None
7366,10,Wyatt Avenue,Leanne,Hayward,33,Daughter,Single,Female,Water quality scientist,None,None
7367,10,Wyatt Avenue,Garry,Evans,32,Son,Single,Male,"Lighting technician, broadcasting/film/video",None,None
7368,11,Wyatt Avenue,Beverley,Peacock,64,Head,Divorced,Female,Actuary, ,Christian
7369,11,Wyatt Avenue,Tracy,Sutton,6,Granddaughter,NA,Female,Student,None,NA
7370,12,Wyatt Avenue,Zoe,Dickinson,36,Head,Divorced,Female,Unemployed,None,Methodist
7371,12,Wyatt Avenue,Ruth,Davidson,2,Daughter,NA,Female,Child,None,NA
7372,12,Wyatt Avenue,Dale,Powell,21,Lodger,Divorced,Male,University Student,None,None
7373,12,Wyatt Avenue,Martin,Taylor,57,Lodger,Single,Male,"Journalist, newspaper",None,Catholic
7374,12,Wyatt Avenue,Amber,Martin,52,Lodger,Single,Female,Nutritional therapist,None,Christian
7375,12,Wyatt Avenue,Elaine,Powell,57,Lodger,Single,Female,Sales executive,None,Catholic
7376,12,Wyatt Avenue,Victoria,Hart,43,Lodger,Single,Female,Waste management officer,None,None
7377,13,Wyatt Avenue,Jeffrey,Khan,78,Head,Widowed,Male,Retired Recycling officer,None,Catholic
7378,13,Wyatt Avenue,Lorraine,Khan,13,Granddaughter,NA,Female,NA,None,NA
7379,14,Wyatt Avenue,Jane,Chambers,45,Head,Single,Female,Unemployed,None,None
7380,14,Wyatt Avenue,Mohammed,Chambers,19,Son,Divorced,Male,University Student,None,None
7381,14,Wyatt Avenue,Francis,Chambers,13,Son,NA,Male,Student,None,NA
7382,14,Wyatt Avenue,Charlene,Chambers,9,Daughter,NA,Female,Student,None,NA
7383,14,Wyatt Avenue,Albert,Chambers,8,Son,NA,Male,Student,None,NA
7384,15,Wyatt Avenue,Jacob,Cox,62,Head,Married,Male,Clinical molecular geneticist,None,Catholic
7385,15,Wyatt Avenue,Lynda,Cox,61,Wife,Married,Female,Bonds trader,None,Catholic
7386,15,Wyatt Avenue,Georgina,Long,12,Granddaughter,NA,female,Student,None,NA
7387,15,Wyatt Avenue,Russell,Hall,12,Grandson,NA,Male,Student,None,NA
7388,16,Wyatt Avenue,Ashleigh,Smith,48,Head,Married,Female,Comptroller,None,Catholic
7389,16,Wyatt Avenue,James,Smith,48,Husband,Married,Male,Energy engineer,None,Catholic
7390,16,Wyatt Avenue,Amy,Smith,11,Daughter,NA,Female,Student,None,NA
7391,17,Wyatt Avenue,Rachael,Nelson,39,Head,Married,Female,"Engineer, petroleum",None,Christian
7392,17,Wyatt Avenue,Raymond,Nelson,42,Husband,Married,Male,"Presenter, broadcasting",None,None
7393,17,Wyatt Avenue,Kieran,Nelson,10,Son,NA,Male,Student,None,NA
7394,17,Wyatt Avenue,Stephanie,Matthews,9,Daughter,NA,Female,Student,None,NA
7395,18,Wyatt Avenue,Carole,Jones,82,Head,Married,Female,Retired Product manager,None,None
7396,18,Wyatt Avenue,Victor,Jones,84,Husband,Married,NA,Retired Commercial horticulturist,None,None
7397,19,Wyatt Avenue,Ronald,Pearson,41,Head,Married,Male,Environmental consultant,None,Catholic
7398,19,Wyatt Avenue,Kim,Pearson,42,Wife,Married,Female,"Horticulturist, commercial",None,None
7399,19,Wyatt Avenue,Justin,Pearson,10,Son,NA,Male,Student,None,NA
7400,20,Wyatt Avenue,Sean,Ahmed,50,Head,Married,Male,Learning mentor,None,Methodist
7401,20,Wyatt Avenue,Linda,Ahmed,48,Wife,Married,Female,Unemployed,None,Methodist
7402,20,Wyatt Avenue,Stephanie,Ahmed,15,Daughter,NA,Female,Student,None,NA
7403,21,Wyatt Avenue,Kathryn,Grant,28,Head,Divorced,Female,Insurance claims handler,None,None
7404,21,Wyatt Avenue,Elizabeth,Grant,5,Daughter,NA,Female,Student,None,NA
7405,21,Wyatt Avenue,Gillian,Grant,1,Daughter,NA,Female,Child,None,NA
7406,21,Wyatt Avenue,Bruce,Boyle,24,Lodger,Single,Male,Investment analyst,None,Christian
7407,21,Wyatt Avenue,Sylvia,Macdonald,48,Lodger,Single,Female,Learning disability nurse,None,Christian
7408,1,Jones Corners,Irene,Harding,56,Head,Divorced,Female,Diagnostic radiographer,None,Methodist
7409,1,Jones Corners,Samuel,Harding,25,Son,Divorced,Male,Geoscientist,None,Methodist
7410,1,Jones Corners,Kelly,Harding,22,Daughter,Single,Female,University Student,None,None
7411,1,Jones Corners,Hugh,Harding,20,Son,Widowed,Male,University Student,None,Methodist
7412,2,Jones Corners,Bethany,Gibson,67,Head,Married,Female,Unemployed,None,Catholic
7413,2,Jones Corners,Gareth,Gibson,73,Husband,Married,Male,Retired Land/geomatics surveyor,None,Catholic
7414,2,Jones Corners,Pauline,Gibson,46,Daughter,Divorced,Female,Unemployed,None,None
7415,2,Jones Corners,John,Gibson,40,Son,Single,Male,Ergonomist,None,Catholic
7416,3,Jones Corners,Elizabeth,Garner,47,Head,Married,Female,Unemployed,None,None
7417,3,Jones Corners,Bryan,Garner,49,Husband,Married,Male,Chief Financial Officer,None,None
7418,3,Jones Corners,Ruth,Garner,18,Daughter,Single,Female,Student,None,None
7419,3,Jones Corners,Glenn,Garner,17,Son,NA,Male,Student,None,NA
7420,4,Jones Corners,Hazel,Harvey,20,Head,Single,Female,University Student,Unknown Infection,Christian
7421,5,Jones Corners,Glenn,Kaur,82,Head,Divorced,Male,Retired Travel agency manager,None,Catholic
7422,6,Jones Corners,Elaine,Ford,29,Head,Single,Female,Retail merchandiser,None,Christian
7423,6,Jones Corners,Garry,Baker,32,Partner,Single,Male,Unemployed,None,None
7424,6,Jones Corners,Hazel,Marshall,63,Sibling,Single,Female,Museum/gallery curator,None,Christian
7425,6,Jones Corners,Thomas,Ball,30,Lodger,Single,Male,Air broker,None,None
7426,7,Jones Corners,NA,Smith,44,Head,Single,Male,Sales promotion account executive,None,NA
7427,7,Jones Corners,Lynn,Wright,39,None,Single,Female,Agricultural consultant,None,None
7428,7,Jones Corners,Barbara,Shaw,60,None,Single,Female,"Education officer, museum",None,Methodist
7429,7,Jones Corners,Marilyn,Matthews,19,None,Single,Female,University Student,None,Catholic
7430,7,Jones Corners,Alexander,Hammond,29,None,Single,Male,Applications developer,None,None
7431,8,Jones Corners,Charlotte,Campbell,47,Head,Married,Female,"Engineer, mining",None,None
7432,8,Jones Corners,Elliot,Campbell,49,Husband,Married,Male,Magazine features editor,None,None
7433,8,Jones Corners,Maria,Campbell,15,Daughter,NA,Female,Student,None,NA
7434,8,Jones Corners,Joanne,Campbell,12,Daughter,NA,Female,Student,None,NA
7435,9,Jones Corners,Arthur,Waters,88,Head,Widowed,Male,Retired Make,None,Christian
7436,10,Jones Corners,Jay,Burton,49,Head,Single,Male,Records manager,None,Christian
7437,10,Jones Corners,Georgina,Elliott,24,None,Single,Female,Clinical biochemist,None,None
7438,10,Jones Corners,Brian,Gray,38,None,Divorced,Male,Geoscientist,None,None
7439,10,Jones Corners,Joanna,Harding,22,None,Single,Female,University Student,None,Methodist
7440,11,Jones Corners,Christine,Lawrence,57,Head,Married,Female,Colour technologist,None,None
7441,11,Jones Corners,Lawrence,Lawrence,57,Husband,Married,Male,Education administrator,None,None
7442,11,Jones Corners,Georgia,Lawrence,25,Daughter,Single,Female,"Psychologist, counselling",None,None
7443,11,Jones Corners,Eleanor,Lawrence,24,Daughter,Divorced,Female,Herbalist,None,None
7444,11,Jones Corners,Scott,Francis-Lawrence,20,Son,Single,Male,University Student,None,None
7445,11,Jones Corners,Joseph,Francis-Lawrence,20,Son,Divorced,m,University Student,None,None
7446,12,Jones Corners,NA,Hale,36,Head,Married,Female,"Runner, broadcasting/film/video",None,Methodist
7447,12,Jones Corners,Nicholas,Hale,38,Husband,Married,Male,Conference centre manager,None,Methodist
7448,12,Jones Corners,Kieran,Hale,11,Son,NA,Male,Student,None,NA
7449,12,Jones Corners,Yvonne,Hale,8,Daughter,NA,Female,Student,None,NA
7450,12,Jones Corners,Olivia,Hale,6,Daughter,NA,Female,Student,Unknown Infection,NA
7451,13,Jones Corners,Laura,Naylor,60,Head,Married,Female,"Radiographer, therapeutic",None,None
7452,13,Jones Corners,Jake,Naylor-Webb,61,Husband,Married,Male,Special educational needs teacher,None,None
7453,13,Jones Corners,Ben,Jones-Naylor-Webb,24,Son,Divorced,Male,Copy,None,None
7454,13,Jones Corners,Phillip,Jones-Naylor-Webb,13,Son,NA,Male,Student, ,NA
7455,14,Jones Corners,Geraldine,Murray,47,Head,Married,Female,Oceanographer,None,Christian
7456,14,Jones Corners,Jack,Murray,49,Husband,Married,Male,"Surveyor, mining",None,Christian
7457,14,Jones Corners,Francis,Murray,9,Son,NA,Male,Student,None,NA
7458,14,Jones Corners,Lewis,Murray,5,Son,NA,Male,Student,None,NA
7459,15,Jones Corners,Lindsey,Green,58,Head,Divorced,Female,"Runner, broadcasting/film/video",None,Catholic
7460,15,Jones Corners,Caroline,Nixon,58,None,Single,Female,Minerals surveyor,None,Methodist
7461,15,Jones Corners,Phillip,Harris,58,None,Single,Male,Chartered accountant,None,None
7462,15,Jones Corners,Paul,Thomas,40,None,Single,Male,"Solicitor, Scotland",None,None
7463,16,Jones Corners,Molly,Dickinson,36,Head,Married,Female,Herpetologist,None,None
7464,16,Jones Corners,Jonathan,Dickinson,40,Husband,Married,Male,Chief Marketing Officer,None,None
7465,16,Jones Corners,Jade,Jones,56,Lodger,Single,F,Counselling psychologist,None,Christian
7466,16,Jones Corners,Danielle,Graham,42,Cousin,Single,Female,Further education lecturer,None,Catholic
7467,17,Jones Corners,Stanley,Hutchinson,62,Head,Married,Male,Geochemist,None,None
7468,17,Jones Corners,Christine,Hutchinson,59,Wife,Married,Female,Furniture designer,None,None
7469,17,Jones Corners,Alice,Hutchinson,7,Granddaughter,NA,Female,Student,None,NA
7470,17,Jones Corners,Valerie,Hutchinson,3,Granddaughter,NA,Female,Child,None,NA
7471,18,Jones Corners,Thomas,Noble,20,Head,Single,Male,University Student,None,Catholic
7472,1,Salamander Curve,Louise,Charlton,31,Head,Single,Female,Barrister's clerk,None,None
7473,1,Salamander Curve,Anthony,Hughes,57,None,Single,Male,Diplomatic Services operational officer,None,Methodist
7474,1,Salamander Curve,Barry,Lucas,20,None,Single,m,University Student,None,None
7475,2,Salamander Curve,Claire,Lowe,41,Head,Married,Female,Advice worker,None,Christian
7476,2,Salamander Curve,Mark,Lowe,45,Husband,Married,Male,"Sales professional, IT",Blind,None
7477,3,Salamander Curve,Leigh,Jenkins,44,Head,Single,Male,"Copywriter, advertising",None,Christian
7478,3,Salamander Curve,Alexandra,Naylor,62,None,Single,Female,"Nurse, children's",None,None
7479,3,Salamander Curve,Stephen,Ali,29,None,Single,Male,Special effects artist,None,None
7480,4,Salamander Curve,Eleanor,Hall,71,Head,Divorced,Female,"Retired Psychologist, sport and exercise",None,Christian
7481,5,Salamander Curve,Tony,Clarke,48,Head,Married,Male,Financial planner,None,Christian
7482,5,Salamander Curve,Amanda,Clarke,43,Wife,Married,Female,"Psychologist, forensic",None,None
7483,6,Salamander Curve,Hayley,Thomas,45,Head,Single,Female,Unemployed,None,Christian
7484,6,Salamander Curve,Vincent,Cook-Thomas,28,Son,Single,Male,Passenger transport manager,None,Christian
7485,6,Salamander Curve,Adrian,Cook-Thomas,28,Son,Single,Male,Cartographer,None,Christian
7486,6,Salamander Curve,Denise,Cook-Thomas,19,NA,Single,Female,University Student,None,None
7487,6,Salamander Curve,Lynne,Cook-Thomas,18,Daughter,Divorced,Female,Student,None,Christian
7488,7,Salamander Curve,Leah,Myers,33,Head,Divorced,Female,"Conservation officer, historic buildings",None,None
7489,7,Salamander Curve,Emily,Lee,19,Lodger,Divorced,Female,University Student,None,Christian
7490,8,Salamander Curve,Yvonne,Richardson,59,Head,Divorced,Female,Music tutor,None,Christian
7491,8,Salamander Curve,Hayley,Richardson,19,Daughter,Single,Female,University Student,None,Christian
7492,9,Salamander Curve,Jay,Walker,30,Head,Married,Male,Careers information officer,None,Christian
7493,9,Salamander Curve,Dorothy,Walker,28,Wife,Married,Female,Database administrator,None,None
7494,10,Salamander Curve,Jamie,Evans,68,Head,Widowed,Male,Retired Water engineer,None,Christian
7495,11,Salamander Curve,Jordan,Matthews,54,Head,Single,Male,Theatre manager,None,None
7496,11,Salamander Curve,Darren,Jones,NA,None,Single,Male,Social worker,None,Christian
7497,11,Salamander Curve,Adam,Jones,27,None,Single,Male,Unemployed,None,None
7498,12,Salamander Curve,Rachael,Baldwin,40,Head,Divorced,Female,"Journalist, broadcasting",None,Christian
7499,12,Salamander Curve,Natasha,Baldwin,15,Daughter,NA,Female,Student,None,NA
7500,13,Salamander Curve,Sharon,Shepherd,34,Head,Married,Female,Ergonomist,None,None
7501,13,Salamander Curve,Owen,Shepherd,41,Husband,Married,Male,Energy engineer,Physical Disability,None
7502,13,Salamander Curve,Clifford,Shepherd,1,Son,NA,Male,Child,None,NA
